Date Created,Project Name,Current Status,NCR Number,RMA Number (IF Applicable) ,Part Name,Serial Number,Contractor's PN,Description of Defect,Supplier/Vendor Name,Updates,Supplier/Vendor Contact Information,QTY,Inspector,Engineer Assigned to:,Disposition,Disposition Notes,Location of Unit,Last Updated
2025-06-18T18:29:21Z,DTO,Shipped to WISK,NCR - 00110,NA,PAC-INT Board,13005.0,R1D000270,Removed from 4014-PAC INT Board faulty & causing PEI calls to be dropped (PE will not connect),WISK,"6/18/2025: Removed from 4014-PAC INT Board faulty & causing PEI calls to be dropped (PE will not connect)
6/26/2025: SOR created, waiting on shipping department to package item.
8/21/2025: Item got shipped to WISK. Waiting for update on WQMS. -BD",chpark@wjis.co.kr / 043-820-4134,1.0,Michael/Bryner,Bryner,Return to Vendor,Return to WISK for repair,WISK,2025-08-21T18:31:54Z
2025-06-18T20:38:26Z,DTO,Shipped to WISK,NCR - 00111,,PEI,14030.0,R1D1473-26839,No Volume,WISK,"6/18/2025: No Volume 6/26/2025: SOR created, waiting on shipping department to package item.
8/21/2025: Item got shipped to WISK for repairs. Waiting on update on WQMS. -BD",chpark@wjis.co.kr / 043-820-4135,1.0,Michael/Bryner,Bryner,Return to Vendor,Return to WISK for repair,WISK,2025-08-21T18:41:11Z
2025-06-18T20:43:46Z,DTO,Shipped to WISK,NCR - 00112,250603-403,PID-RXB,15078.0,R1D000338,Video picture had black lines running through it.,WISK,"6/18/2025: Going to send to WISK to get the part repaired.
6/26/2025: SOR created, waiting on shipping department to package item.
8/21/2025: Item got shipped to WISK for repairs. Waiting on update on WQMS. -BD",chpark@wjis.co.kr / 043-820-4136,1.0,Bryner/Mike C.,Bryner/Mike C.,Return to Vendor,Sending to WISK to get repaired.,WISK,2025-08-21T18:44:42Z
2025-06-18T21:03:03Z,DTO,Needs replacement/Waiting on Customer,NCR - 00113,250211-0329,PID-PCB,20012.0,R1D000337,Board burnt out,WISK,"6/18/2025: Going to contact WISK to ask them how much it will cost to replace this part. 
This part is un-repairable because the board is burnt.
6/26/2025: Emailed Dorian Lee to inquire on price for a full replacement.
8/21/2025: Waiting on RMA department to contact customer to see if they want to get a new replacement board. -BD",chpark@wjis.co.kr / 043-820-4136,1.0,Bryner/Mike C.,Bryner/Mike C.,Un-Repairable,Contact WISK to ask them how much it will cost to replace this part. This part is un-repairable.,MRB Area,2025-08-21T18:52:19Z
2025-06-18T21:34:32Z,DTO,Needs replacement/Waiting on Customer,NCR - 00114,250211-0330,PID-PCB,13024.0,R1D000337,Board burnt out,WISK,"6/18/2025: Going to contact WISK to ask them how much it will cost to replace this part. This part is un-repairable because the board is burnt.
6/26/2025: Emailed Dorian Lee to inquire on price for a full replacement.
8/21/2025: Waiting on RMA department to contact customer to see if they want to get a new replacement board. -BD",chpark@wjis.co.kr / 043-820-4136,1.0,Bryner/Mike,Bryner/Mike,Un-Repairable,We will contact WISK for a new replacement part because this part is un-repairable.,MRB Area,2025-08-21T18:52:19Z
2025-06-18T22:05:07Z,DTO,Shipped to WISK,NCR - 00115,250603-403,CCP,13003.0,R1D1355-21552,Display & buttons not functional,DTO,"6/18/2025: Display & Buttons not functional. 6/26/2025: SOR created, waiting on shipping department to package item.
8/21/2025: Item got shipped to WISK for repairs. Waiting to see update on WQMS. -BD",chpark@wjis.co.kr / 043-820-4137,1.0,Michael,Bryner,Return to Vendor,,WISK,2025-08-21T18:55:48Z
2025-06-30T15:59:00Z,DTO,Waiting on Shipping,NCR - 00116,250603-0408,VOIP Board,20010.0,R1D000300,VOIP board is defective and will not allow connection from unit to SCC,WISK,"6/30/2025: Created SOR, waiting on shipping team to send out.
8/22/2025: Waiting on shipping department to send item out. - BD",chpark@wjis.co.kr,1.0,Michael/Bryner,Vong Tran,Return to Vendor,Send to WISK for repair,WISK,2025-08-22T20:47:56Z
2025-06-30T16:14:20Z,DTO,Waiting on Shipping,NCR - 00117,250603-0407,VOIP Board,14008.0,R1D000300,Defective board and will not allow connection from unit to SCC,WISK,"6/30/2025: Created SOR, waiting on shipping team to send out.
8/22/2025: Waiting on shipping department to send item out. - BD",chpark@wjis.co.kr,1.0,Michael/Bryner,Vong Tran,Return to Vendor,Send to WISK for repair,WISK,2025-08-22T20:47:56Z
2025-07-01T18:18:18Z,DTO,Waiting on Shipping,NCR - 00118,250620-0426,PID-RXB,12006.0,R1D000338,Video RX Board broken connection plug,WISK,7/11/2025: Notified Julie (RMA) about telling customer about burnt boards. Told her that the customer should buy a new board instead of repairing an unrepairable board,"chpark@wjis.co.kr, 043-820-4135",1.0,Vong Tran,Vong Tran,Return to Vendor,Send to WISK for repair,MRB Area,2025-07-16T23:38:44Z
2025-07-01T20:27:58Z,DTO,Needs replacement/Waiting on Customer,NCR - 00119,250620-0428,PID-PCB,12231.0,R1D000337,PID Board testing needed good or bad. Back of board is burned,WISK,8/22/2025: Notified Julie (RMA) about telling customer about burnt boards. Told her that the customer should buy a new board instead of repairing an unrepairable board,"chpark@wjis.co.kr, 043-820-4136",1.0,Vong Tran,Vong Tran,Un-Repairable,Order new part,MRB Area,2025-08-22T16:00:44Z
2025-07-01T20:37:34Z,DTO,Needs replacement/Waiting on Customer,NCR - 00120,250620-0429,PID-PCB,12255.0,R1D000337,Power supply board is not attached. Need hardware for PID. Board is burned in the back,WISK,8/22/2025: Notified Julie (RMA) about telling customer about burnt boards. Told her that the customer should buy a new board instead of repairing an unrepairable board,"chpark@wjis.co.kr, 043-820-4136",1.0,Vong Tran,Vong Tran,Un-Repairable,Order new part,MRB Area,2025-08-22T16:00:44Z
2025-07-03T15:54:51Z,DTO,Shipped to WISK,NCR - 00121,250620-0427,LCD-PID,13074.0,R1D1355-05497,Board is smoking when power is supplied,WISK,"7/3/2025: Made SOR to send to WISK for repairs. Received part with missing board on the inside.
8/22/2025: Item got shipped to WISK for repairs. Waiting to see updates on WQMS. -BD",chpark@wjis.co.kr     043-820-4136,1.0,Bryner Diaz,Bryner Diaz,Repair,7/3/2025: Made SOR to send to WISK for repairs. Received part with missing board on the inside.,WISA Shipping Area,2025-08-22T16:00:44Z
2025-07-03T17:22:11Z,Sound Transit,Waiting on Shipping,NCR - 00122,NA,IDPS,S4IDPS24002,R1C011322,SIL4 said to not use this serial number because of updating issues.,SIL4,"7/3/2025: Firmware update issues. Requested for new item
7/15/2025: completed firmware updates complete",Andrew Yankovich,1.0,Vong Tran,Bryner Diaz,Return to Vendor,Will contact SIL4 for their RMA number.,MRB Area,2025-07-29T18:37:58Z
2025-07-07T17:41:30Z,Sound Transit,Waiting on Shipping,NCR - 00123,NA,ACS (CCU-A),2410002.0,R1C011378-G01,Failed for firmware updated OS,WISA,"7/3/2025: Firmware update issues. Requested for new item
7/15/2025: completed firmware updates complete
8/22/2025: Waiting on shipping department to send item out. - BD",WISA,1.0,Michael Cho,Michael Cho,Replaced with new unit,,MRB Area,2025-09-04T20:51:27Z
2025-07-07T18:46:11Z,Sound Transit,Waiting on Shipping,NCR - 00124,NA,DLC board,24E0022,R1C011372-G01,"DLC failed to communicate with test bench. ""DLC FAULT"" displayed on TOD.",WISK,"7/7/2025: Created SOR, waiting on shipping.
8/22/2025: Waiting on shipping department to send item out. - BD",chpark@wjis.co.kr / 043-820-4134,1.0,Bryner Diaz,Bryner Diaz,Send to Wisk for Repairs,,WISA Shipping Area,2025-08-22T21:00:56Z
2025-07-07T22:50:34Z,Sound Transit,Waiting on Shipping,NCR - 00125,NA,DLC (CCU-B),24E0003,R1C011372G01,DLC show failed on TOD,WISK,"7/11/2025: Submitted SOR. Pending shipping
8/22/2025: Waiting on shipping department to send item out. - BD","chpark@wjis.co.kr, 043-820-4136",1.0,Michael Cho,Michael Cho,Return to Vendor,,MRB Area,2025-09-04T20:51:27Z
2025-07-14T18:46:50Z,Sound Transit,Complete,NCR - 00126,S2506-0022,TOD,See attached list,vROK3030-WJ,Software needs to be updated.,Nexcom,"6/27.25: 184 TOD's picked up from WISA
7/10/25: 184 TOD's received from Nexcom.",yvettet@nexcom.com,184.0,Bryner Diaz,Bryner Diaz,"Return to Vendor, Repair",Will send 184 TOD's for software upgrade.,WISA Inventory,2025-07-14T23:31:36Z
2025-07-15T15:25:37Z,DTO,"Created SOR, Waiting on Shipping",NCR - 00128,250703-0442,Driver PA operations box,14005.0,R1D1473-25854,PA operations box is not working properly with the gooseneck mic in the cab.,WISK,7/15/2025: Created SOR. Sending to WISK for repairs.,"chpark@wjis.co.kr, 043-820-4136",1.0,Bryner Diaz,Bryner Diaz,Send to Wisk for Repairs,,WISA Shipping Area,2025-07-15T15:25:37Z
2025-07-15T15:56:54Z,DTO,Waiting on Shipping,NCR - 00129,250703-0440,PEI,13045.0,R1D1473-26839,"Dead PEI, no power in unit",WISK,7/15/2025: Created SOR. Going to send to WISK for repairs.,"chpark@wjis.co.kr, 043-820-4136",1.0,Bryner Diaz,Bryner Diaz,Send to Wisk for Repairs,,WISA Shipping Area,2025-07-15T15:56:54Z
2025-07-15T16:29:55Z,DTO,Needs replacement/Waiting on Customer,NCR - 00130,250612-0412,PID PCB,20001.0,R1D000337,No power going through board,CH Park,7/15/2025: Entered into NCR log,chpark@wjis.co.kr / 043-820-4136,1.0,Michael Cho,Michael Cho,Un-Repairable,,MRB Area,2025-07-16T23:33:25Z
2025-07-15T16:37:44Z,DTO,Needs replacement/Waiting on Customer,NCR - 00131,250612-0413,PID PCB,13016.0,R1D000337,07/07/2025: No power going through board. Back of PCB is burnt,CH Park,"07/07/2025: No power going through board. Back of PCB is burnt
8/22/2025: Notified Julie (RMA) about telling customer about burnt boards. Told her that the customer should buy a new board instead of repairing an unrepairable board",chpark@wjis.co.kr / 043-820-4136,1.0,Michael Cho,Michael Cho,Un-Repairable,,MRB Area,2025-08-22T16:11:08Z
2025-07-15T16:44:00Z,DTO,Needs replacement/Waiting on Customer,NCR - 00132,250612-0410,PID PCB,15001.0,R1D000337,07/07/2025: No power going through board. Back of PCB is burnt,CH Park,"07/07/2025: No power going through board. Back of PCB is burnt
8/22/2025: Notified Julie (RMA) about telling customer about burnt boards. Told her that the customer should buy a new board instead of repairing an unrepairable board",chpark@wjis.co.kr / 043-820-4136,1.0,Michael Cho,Michael Cho,Un-Repairable,,MRB Area,2025-08-22T16:11:08Z
2025-07-15T16:55:32Z,DTO,Needs replacement/Waiting on Customer,NCR - 00133,250612-0411,PID PCB,20004.0,R1D000337,07/07/2025: No power going through board. Back of PCB is burnt,CH Park,"07/07/2025: No power going through board. Back of PCB is burnt
8/22/2025: Notified Julie (RMA) about telling customer about burnt boards. Told her that the customer should buy a new board instead of repairing an unrepairable board",chpark@wjis.co.kr / 043-820-4136,1.0,Michael Cho,Michael Cho,Un-Repairable,,MRB Area,2025-08-22T16:11:08Z
2025-07-15T16:58:19Z,DTO,Needs replacement/Waiting on Customer,NCR - 00134,250612-0409,PID PCB,14025.0,R1D000337,07/07/2025: No power going through board. Back of PCB is burnt,CH Park,"07/07/2025: No power going through board. Back of PCB is burnt
8/22/2025: Notified Julie (RMA) about telling customer about burnt boards. Told her that the customer should buy a new board instead of repairing an unrepairable board",chpark@wjis.co.kr / 043-820-4136,1.0,Michael Cho,Michael Cho,Un-Repairable,,MRB Area,2025-08-22T16:11:08Z
2025-07-16T23:33:25Z,,Needs replacement/Waiting on Customer,NCR - 00136,,,,,,,7/29/2025: Empty row for testing,,,,,,,,2025-07-29T18:37:58Z
2025-07-15T21:05:52Z,DTO,"Created SOR, Waiting on Shipping",NCR - 00135,250703-0441,Communication Rack A fan,13043.0,R1D1355-21519,back plane not working. Announcements and displays not working.,WISK,7/15/2025: Back plane not working correctly. Announcements and displays not working.,"chpark@wjis.co.kr, 043-820-4136",1.0,Bryner Diaz,Bryner Diaz,Send to Wisk for Repairs,,WISA Shipping Area,2025-07-15T21:05:52Z
2025-07-21T23:46:51Z,A650,Needs replacement/Waiting on Customer,NCR - 00137,,HSCB,NA,RDC000523-601,Failed Test: Frame Only,CH Park,7/21/2025: Changed design for HSCB,chpark@wjis.co.kr / 043-820-4136,1.0,George Onon,Michael Cho,Scrap,,WISA Inventory,2025-07-22T15:37:16Z
2025-07-21T23:51:29Z,A650,Needs replacement/Waiting on Customer,NCR - 00138,,HSCB,NA,RDC000523-601,Failed Test: Frame Only,CH Park,7/21/2025: HSCB Design changed after production,chpark@wjis.co.kr / 043-820-4136,1.0,George Onon,Michael Cho,Scrap,,WISA Inventory,2025-07-22T15:37:16Z
2025-07-21T23:52:11Z,A650,Needs replacement/Waiting on Customer,NCR - 00139,,HSCB,NA,RDC000523-601,Failed Test: Frame Only,CH Park,7/21/2025: HSCB Design changed after production,chpark@wjis.co.kr / 043-820-4136,1.0,George Onon,Michael Cho,Scrap,,WISA Inventory,2025-07-22T15:37:16Z
2025-07-21T23:52:43Z,A650,Needs replacement/Waiting on Customer,NCR - 00140,,HSCB,NA,RDC000523-601,Failed Test: Frame Only,CH Park,7/21/2025: HSCB Design changed after production,chpark@wjis.co.kr / 043-820-4136,1.0,George Onon,Michael Cho,Scrap,,WISA Inventory,2025-07-22T15:37:16Z
2025-07-22T16:08:28Z,Sound Transit,In Progress,NCR - 00141,,TOD,TSCF31006479,vROK3030-WJ,Not connecting to internet,CH Park,7/22/2025: Vong requested to replace TOD on test bench for a new TOD,chpark@wjis.co.kr / 043-820-4136,1.0,Vong Tran,Vong Tran,Replaced with new unit,,WISA Inventory,2025-07-29T18:53:16Z
2025-07-28T17:59:13Z,A650,In Progress,NCR - 00142,,No.1 APS Box Frame Ass'y,NA,R1B009817,Lifting lug length design change.,WISK,New shipment will replace this NCR.,chpark@wjis.co.kr / 043-820-4136,1.0,Richard Navarro,Michael Cho,Send to Wisk for Repairs,Invoice #: IV250529-01. This is the first ocean shipment from WISK,WISA Shipping Area,2025-07-28T18:11:24Z
2025-07-28T18:07:03Z,A650,In Progress,NCR - 00143,,No.1 APS Box Frame Ass'y,NA,R1B009817,Lifting lug length design change,WISK,New shipment will replace this NCR.,chpark@wjis.co.kr / 043-820-4136,1.0,Richard Navarro,Michael Cho,Send to Wisk for Repairs,Invoice #: IV250529-01. This is the first ocean shipment from WISK,WISA Shipping Area,2025-07-28T18:11:24Z
2025-07-28T18:21:20Z,A650,"In Progress, Shipped to Vendor",NCR - 00144,,No.1 APS Box Frame Ass'y,NA,R1B009817,Lifting lug length design change,WISK,New shipment will replace this NCR.,chpark@wjis.co.kr / 043-820-4136,1.0,Richard Navarro,Michael Cho,Send to Wisk for Repairs,Invoice #: IV250529-01. This is the first ocean shipment from WISK,WISA Shipping Area,2025-08-19T17:10:25Z
2025-07-28T18:26:27Z,A650,In Progress,NCR - 00145,,No.1 APS Box Frame Ass'y,NA,R1B009817,Lifting lug length design change,WISK,New shipment will replace this NCR.,chpark@wjis.co.kr / 043-820-4136,1.0,Richard Navarro,Michael Cho,Return to Vendor,Invoice #: IV250529-01. This is the first ocean shipment from WISK,WISA Shipping Area,2025-07-28T18:26:27Z
2025-07-29T18:21:08Z,Sound Transit,Waiting on Shipping,NCR - 00146,,MCPU Board in MDL (24002),2410367.0,R1C011317,MCPU board is not working,CH Park,7/29/2025: Requested switch with new MDL in inventory,chpark@wjis.co.kr / 043-820-4136,1.0,Michael Cho,Bryner Diaz,Replaced with new unit,NA,MRB Area,2025-08-13T23:29:12Z
2025-08-01T18:01:16Z,DTO,Waiting on Shipping,NCR - 00147,R1D1355-21529,PID Assembly,13055.0,R1D1355-21529,PII Not working,CH Park,7/29/2025: Received and prepared to ship to WISK,chpark@wjis.co.kr / 043-820-4136,1.0,Michael Cho,Michael Cho,Send to Wisk for Repairs,NA,MRB Area,2025-08-13T23:29:12Z
2025-08-04T16:42:56Z,Sound Transit,Waiting Vendor Response,NCR - 00148,,TWDC Router,20.0,102001496.0,Not connecting to bench. Failed Ping Test,Mclaren,"8/4/2025: Not connecting to bench. Failed Ping Test
9/9/2025: Chia-Chen contacted me to talk about sending a pick-up request. Sent email to start process - MC",Chia-Chen Fan,1.0,Michael Cho,Michael Cho,Return to Vendor,NA,MRB Area,2025-09-09T20:23:23Z
2025-08-05T20:31:33Z,Sound Transit,In Progress,NCR - 00149,NA,TOD,TSCE51014332,R1C011315,"The TOD screen goes black every 30-45 seconds, regardless of the cab active status and timeout function.",NEXCOM,"8/5/2025: Waiting for Seattle team to send us the TOD. Once received, we will update the NCR file and add red tag to TOD.",yvettet@nexcom.com,1.0,Bryner Diaz,Bryner Diaz,Repair,NA,Woojin Seattle Team,2025-08-13T23:29:12Z
2025-08-12T18:48:11Z,Sound Transit,"Created SOR, Waiting on Shipping",NCR - 00150,,EDS,25018.0,R1C011384,Scratches on the LED cover on the Box assembly,WISK,8/12/2025: Scratches on the LED cover on the Box assembly,chpark@wjis.co.kr / 043-820-4136,1.0,Michael Cho,Michael Cho,Send to Wisk for Repairs,NA,MRB Area,2025-08-13T23:29:12Z
2025-08-12T22:03:13Z,Sound Transit,"Created SOR, Waiting on Shipping",NCR - 00151,,Ambient Noise Sensing Microphone,24015.0,R1C011430-G01,Chipped paint on right corner,WISK,8/12/2025: Chipped paint on right corner,chpark@wjis.co.kr / 043-820-4136,1.0,Michael Cho,Michael Cho,Send to Wisk for Repairs,NA,MRB Area,2025-08-14T17:32:34Z
2025-08-13T23:24:26Z,Sound Transit,In Progress,NCR - 00152,NA,Side View Camera,B8A44FA70742,R1C011327,Camera has a crack on the back of it.,RTC,8/13/2025: Waiting to receive physical camera to put red tag on it. -BD,James Osman,1.0,Bryner Diaz,Bryner Diaz,Replaced with new unit,NA,Woojin Seattle Team,2025-09-15T15:41:20Z
2025-08-13T23:28:36Z,Sound Transit,In Progress,NCR - 00153,NA,Side View Camera,B8A44FA7074B,R1C011327,The camera has a Crack on the back of it.,RTC,8/13/2025: The camera needs a new replacement. Still need to physically attach the red tag. -BD,James Osman,1.0,Bryner Diaz,Bryner Diaz,Replaced with new unit,NA,Woojin Seattle Team,2025-09-15T15:41:20Z
2025-08-15T20:59:56Z,TRIMET,In Progress,NCR - 00154,250811-0452,CCP,010A087,R1C000914,Touchscreen not working. Fails all BTE tests,WISK,8/15/2025: Touchscreen not working. Fails all BTE tests,chpark@wjis.co.kr / 043-820-4136,1.0,Michael Cho,Michael Cho,Send to Wisk for Repairs,,MRB Area,2025-08-15T21:03:35Z
2025-08-19T21:49:53Z,TRIMET,"In Progress, Created SOR, Waiting on Shipping",NCR - 00155,250626-0431,PBX Module,15072.0,R1C0012421,Fails ping test. Destination host unreachable,WISK,8/19/2025: Fails ping test. Destination host unreachable. Created SOR to ship out to WISK,chpark@wjis.co.kr / 043-820-4136,1.0,Michael Cho,Michael Cho,Send to Wisk for Repairs,,MRB Area,2025-08-19T22:43:55Z
2025-08-19T21:56:59Z,TRIMET,"In Progress, Created SOR, Waiting on Shipping",NCR - 00156,250626-0432,PBX Module,15076.0,R1C0012421,Fails ping test,WISK,8/19/2025: Fails ping test. Created SOR to ship out to WISK,chpark@wjis.co.kr / 043-820-4136,1.0,Michael Cho,Michael Cho,Send to Wisk for Repairs,,MRB Area,2025-08-19T22:43:55Z
2025-08-19T22:27:08Z,TRIMET,"In Progress, Created SOR, Waiting on Shipping",NCR - 00157,250626-0433,Amplifier Board,15008.0,R1C001257,Right exterior PA not functioning,WISK,8/19/2025: Right exterior PA not functioning. Created SOR to ship out to WISK,chpark@wjis.co.kr / 043-820-4136,1.0,Michael Cho,Michael Cho,Send to Wisk for Repairs,,MRB Area,2025-08-19T22:43:55Z
2025-08-19T22:34:25Z,TRIMET,"In Progress, Created SOR, Waiting on Shipping",NCR - 00158,250626-0434,Amplifier Board 1,14003.0,R1C001261,8/19/2025: no external broadcast,WISK,8/19/2025: no external broadcast. Created SOR to ship out to WISK,chpark@wjis.co.kr / 043-820-4136,1.0,Richard Navarro,Michael Cho,Send to Wisk for Repairs,,MRB Area,2025-08-19T22:43:55Z
2025-08-19T22:36:51Z,TRIMET,"In Progress, Created SOR, Waiting on Shipping",NCR - 00159,250626-0435,Signal Control Board Base,15113.0,R1C001261,8/19/2025: no external broadcast,WISK,8/19/2025: intermittent inputs high while  no input signal present. Back of board is burnt. Created SOR to ship out to WISK,chpark@wjis.co.kr / 043-820-4136,1.0,Richard Navarro,Michael Cho,Send to Wisk for Repairs,,MRB Area,2025-08-19T22:50:25Z
2025-08-19T22:40:54Z,TRIMET,"In Progress, Created SOR, Waiting on Shipping",NCR - 00160,250626-0436,VOIP Amplifier,15009.0,R1C001267,8/19/2025: Ping test fails. Destination host unreachable,WISK,8/19/2025: Ping test fails. Destination host unreachable. Created SOR to ship out to WISK,chpark@wjis.co.kr / 043-820-4136,1.0,Richard Navarro,Michael Cho,Send to Wisk for Repairs,,MRB Area,2025-08-19T22:43:55Z
2025-08-26T23:42:56Z,Sound Transit,In Progress,NCR - 00161,NA,Side View Camera,E82725126C78,R1C011327,No video output,RTC,"8/26/25: While testing the camera, it would not give a video output.-BD",James Osman,1.0,Bryner Diaz,Bryner Diaz,Return to Vendor,,MRB Area,2025-09-15T15:40:26Z
2025-08-29T16:59:35Z,DTO,"Created SOR, Waiting on Shipping",NCR - 00162,250819-0455,PID-RXB Board,13147.0,R1D000338,PCB shorted out from test and replaced from 4037,WISK,8/29/2025: Created NCR and SOR. Currently waiting on shipping department. -BD,chpark@wjis.co.kr / 043-820-4136,1.0,Bryner Diaz,Bryner Diaz,Send to Wisk for Repairs,,WISA Shipping Area,2025-09-15T15:40:26Z
2025-08-29T17:27:56Z,DTO,"Created SOR, Waiting on Shipping",NCR - 00163,250819-0453,Driver PA Operation Handset,13026.0,R1D1473-26838,Item was not receiving or sending audio.,WISK,8/29/2025: Created NCR/SOR. Waiting on shipping department.,chpark@wjis.co.kr / 043-820-4136,1.0,Bryner Diaz,Michael Cho,Send to Wisk for Repairs,,WISA Shipping Area,2025-09-05T17:49:32Z
2025-08-29T17:56:39Z,DTO,"Created SOR, Waiting on Shipping",NCR - 00164,250806-0451,PEI B Assy.,13070.0,R1D1473-26839,"Will call cab, unable to answer.",WISK,8/28/2025: Created NCR/SOR. Waiting for shipping department to send to WISK.,chpark@wjis.co.kr / 043-820-4136,1.0,Bryner Diaz,Michael Cho,Send to Wisk for Repairs,,WISA Shipping Area,2025-09-02T15:24:42Z
2025-08-29T18:24:30Z,DTO,"Created SOR, Waiting on Shipping",NCR - 00165,250819-0454,LIC Board LonWorks,14013.0,R1D000262,"Board Missing Connections, incomplete",WISK,"8/29/2025: board missing connections, incomplete. shipping to wisk - MC",chpark@wjis.co.kr / 043-820-4136,1.0,Michael Cho,Michael Cho,Send to Wisk for Repairs,,MRB Area,2025-08-29T18:25:46Z
2025-09-02T15:24:11Z,Sound Transit,Complete,NCR - 00166,NA,DSIMS Control Board,24J0063,R1D028784,Vertical lines on LCD screen,WISK,"9/2/25: Created NCR and SOR. Waiting on Shipping department.
9/10/25: We received a brand-new DSIMS control board from WISK, SN: 24J0031. It was installed into DSIMS and works properly. We still have to send WISK the old Heat sink.
NCR CLOSED",chpark@wjis.co.kr / 043-820-4136,1.0,Bryner Diaz,Bryner Diaz,Send to Wisk for Repairs,,WISA Shipping Area,2025-09-10T23:15:45Z
2025-09-02T15:31:16Z,Sound Transit,Complete,NCR - 00167,NA,DSIMS control Board,24J0061,R1D028784,No power to LCD screen,WISK,"9/2/2025: Created NCR and SOR. Waiting on Shipping department.
9/10/25: We received a brand-new DSIMS control board from WISK, SN: 24J0062. The defective board did not get fixed but replaced completely with a new board. It was installed into DSIMS and works properly. We still have to send WISK the old Heat sink.
NCR CLOSED",chpark@wjis.co.kr / 043-820-4136,1.0,Bryner Diaz,Bryner Diaz,Send to Wisk for Repairs,,WISA Shipping Area,2025-09-10T23:19:24Z
2025-09-03T23:16:13Z,DTO,"Created SOR, Waiting on Shipping",NCR - 00168,250826-0456,Side Destination Indicator,13127.0,R1D1473-25850,Broken/Non-functional,WISK,9/3/2025: Created NCR and SOR. Waiting on shipping department. -BD,chpark@wjis.co.kr / 043-820-4136,1.0,Bryner Diaz,Bryner Diaz,Send to Wisk for Repairs,,WISA Shipping Area,2025-09-15T15:40:26Z
2025-09-11T20:39:19Z,Other,"Created SOR, Waiting on Shipping",NCR - 00169,250904-0457,Train number sign,23008.0,R1C007624,Antenna on the side of run number sign is loose and won't stay in place.,WISK,9/11/2025: Created NCR and SOR. Waiting on shipping department.-BD,WISK,1.0,Bryner Diaz,Bryner Diaz,Send to Wisk for Repairs,,WISA Shipping Area,2025-09-15T15:40:26Z
